file,mse,ssim,anom_fix,anom_dyn,anom_pct
noisy,0.10389813492555988,0.006688732306642557,379
clean,0.10403368170531388,0.018575888779365703,386
defected,0.10389813492555988,0.006688732306642557,379
1310_40ns,5156.5493,0.29567550712236795,512
clean,0.10403368170531388,0.018575888779365703,386
defected,0.1045049241009272,0.017832641914623807,385
noisy,0.1046961620558296,0.019221200541416534,386
noisy,0.0008770813761388532,0.5917016116148397,0
defected,0.00087549986638663,0.5882731492778911,0
clean,0.0004815310703195037,0.7838776070273297,0
noisy,0.0009927595435127458,0.5346886302890712,0
defected,0.0009917927851295428,0.5312703359195416,0
clean,0.0005696302466036946,0.7172921011347843,0
noisy,0.0009516262534339366,0.5195631505203626,0
defected,0.0009491052467960269,0.5157441903498288,0
clean,0.0005144955582989318,0.720962394913626,0
noisy,0.0009516262534339366,0.5195631505203626,253
defected,0.0009491052467960269,0.5157441903498288,252
clean,0.0005144955582989318,0.720962394913626,171
noisy,0.0009516262534339366,0.5195631505203626,253,22,26
defected,0.0009491052467960269,0.5157441903498288,252,23,26
clean,0.0005144955582989318,0.720962394913626,171,22,26
50_1_preprocessed,1.8367164487026728,-0.014078272520045385,510,0,26
50_2_preprocessed,1.66436002386294,-0.010832021595024319,511,0,26
50_1_preprocessed,0.42398390953011283,0.6447541707405292,468,36,26
50_2_preprocessed,0.44876399997619276,0.5393574570816901,465,33,26
